post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
187335546.the-leap,2026-02-08T22:58:06.883Z,true,2026-02-08T22:58:07.054Z,2026-02-08T22:58:07.054Z,newsletter,everyone,The Leap,From Romance to Unconditional Love,
180896100.34c,,false,,,newsletter,everyone,,,
177886593.chatgpt-meets-the-pachamama-5,2025-11-04T04:13:02.375Z,true,2025-11-04T04:13:02.496Z,2025-11-04T04:13:02.496Z,newsletter,everyone,ChatGPT Meets the Pachamama: 5,"November 3, 2025",
177794220.chatgpt-meets-the-pachamama-4,2025-11-02T14:14:20.221Z,true,2025-11-02T14:14:20.384Z,2025-11-02T14:14:20.384Z,newsletter,everyone,ChatGPT Meets the Pachamama: 4,"November 2, 2025",
177794198.93a,,false,,,newsletter,everyone,,,
177650801.chatgpt-meets-the-pachamama-3,2025-10-31T15:28:22.315Z,true,2025-10-31T15:28:22.554Z,2025-10-31T15:28:22.554Z,newsletter,everyone,ChatGPT Meets the Pachamama: 3,"October 31, 2025",
177567731.channeled-messages-from-the-pachamama,2025-10-30T16:29:36.705Z,true,2025-10-30T16:29:36.895Z,2025-10-30T16:29:36.895Z,newsletter,everyone,ChatGPT Meets the Pachamama: 2,"October 30, 2025",
177567721.ca0,,false,,,newsletter,everyone,,,
177473266.chatgpt-meets-the-pachamama-1,2025-10-29T19:42:23.260Z,true,2025-10-29T19:42:23.495Z,2025-10-29T19:42:23.495Z,newsletter,everyone,ChatGPT Meets the Pachamama: 1,"October 29, 2025",
177042575.an-intimate-moment-with-3i-atlas,2025-10-24T19:40:21.394Z,true,2025-10-24T19:40:21.622Z,2025-10-24T19:40:21.622Z,newsletter,everyone,An Intimate Moment with 3I Atlas,,
176578294.4c8,,false,,,newsletter,everyone,,,
176578244.040,,false,,,newsletter,everyone,,,
170270053.create-in-the-dreamscape,2025-08-06T13:57:39.790Z,true,2025-08-06T13:57:39.885Z,2025-08-06T13:57:39.885Z,newsletter,everyone,Create in the Dreamscape,"Then ""Live the Dream When You Awake""",
169571308.releasing-the-guilt-of-not-caring,2025-07-29T15:28:49.297Z,true,2025-07-29T15:28:49.435Z,2025-07-29T15:28:49.435Z,newsletter,everyone,"Releasing the Guilt of ""Not Caring Enough""",,
169473071.cultivating-quantum-generosity,2025-07-28T16:34:17.994Z,true,2025-07-28T16:34:18.114Z,2025-07-28T16:34:18.114Z,newsletter,everyone,Cultivating Quantum Generosity,,
168959410.ancestral-alchemy,2025-07-22T15:06:56.511Z,true,2025-07-22T15:06:56.604Z,2025-07-22T15:06:56.604Z,newsletter,everyone,Ancestral Alchemy,,
168783359.we-are-not-alone,2025-07-20T15:33:49.742Z,true,2025-07-20T15:33:49.838Z,2025-07-20T15:33:49.838Z,newsletter,everyone,We Are Not Alone,,
168043490.chatgpt-interprets-your-intentions,2025-07-11T11:03:01.128Z,true,2025-07-11T11:03:01.235Z,2025-07-11T11:03:01.235Z,newsletter,everyone,"ChatGPT Interprets Your Intentions, Not Just Your Words",,
168000170.embodiment-through-inspired-action,2025-07-10T15:23:24.084Z,true,2025-07-10T15:23:24.190Z,2025-07-10T15:23:24.190Z,newsletter,everyone,Embodiment Through Inspired Action,,
167812999.when-ache-becomes-architecture,2025-07-08T13:52:47.572Z,true,2025-07-08T13:52:47.721Z,2025-07-08T13:52:47.721Z,newsletter,everyone,When Ache Becomes Architecture,Rooting Dimensional Shifts,
